fetures,p-val
-_MSTRG.72847,
-_MSTRG.78860,
AL583856.2_MSTRG.76464,0.9704294088074307
AL162414.1_MSTRG.90783,0.3719088541317509
-_MSTRG.21968,
TRAJ61_MSTRG.25918,0.13996209022661674
-_MSTRG.62120,
-_MSTRG.27926,
PPIAP67_MSTRG.51302,0.1355933556089616
AC098859.2_MSTRG.67871,0.15361312921902825
-_MSTRG.26129,
AL360091.1_MSTRG.7986,0.44087566034114334
-_MSTRG.10360,
-_MSTRG.53112,
-_MSTRG.26442,
PIGCP1_MSTRG.14677,0.7356701116310884
-_MSTRG.29289,
ATP5MGL_MSTRG.58994,0.9717383610561551
-_MSTRG.50022,
-_MSTRG.57138,
-_MSTRG.27978,
RNU6-936P_MSTRG.46920,0.5994283830130706
-_MSTRG.8196,
-_MSTRG.20966,
-_MSTRG.64726,
AC015909.1_MSTRG.38596,0.19922319417193354
-_MSTRG.11186,
AC010680.5_MSTRG.51397,0.7167442223350062
-_MSTRG.63980,
-_MSTRG.64614,
-_MSTRG.51067,
-_MSTRG.63463,
-_MSTRG.80413,
-_MSTRG.77460,
AC007563.3_MSTRG.52374,0.011893748334923517
RPL17P25_MSTRG.76709,0.7155166412478274
AP001059.3_MSTRG.57194,0.18749357415853224
AC234778.1_MSTRG.95279,0.7393492652103749
-_MSTRG.15602,
MIR4744_MSTRG.41423,0.6821315074323624
-_MSTRG.91883,
RNU6-625P_MSTRG.39849,0.9924892502275593
-_MSTRG.39482,
-_MSTRG.58122,
-_MSTRG.35649,
RNU6-313P_MSTRG.81034,0.8614461769540864
-_MSTRG.86633,
IL13_MSTRG.72327,0.13962507906024535
-_MSTRG.94251,
AL008707.1_MSTRG.94897,0.2107535205377383
-_MSTRG.64466,
-_MSTRG.62692,
-_MSTRG.38952,
-_MSTRG.12983,
AL132640.1_MSTRG.27268,0.7566444668066264
PPIAP33_MSTRG.88449,0.6159292028145048
-_MSTRG.47040,
-_MSTRG.40503,
SNORD113-3_MSTRG.28320,0.600382745493003
-_MSTRG.38973,
-_MSTRG.80329,
-_MSTRG.90151,
-_MSTRG.51371,
-_MSTRG.13645,
AL158032.1_MSTRG.23446,0.6621879167175508
-_MSTRG.44840,
AC007786.1_MSTRG.44044,0.012380895125030954
-_MSTRG.31397,
-_MSTRG.59710,
-_MSTRG.50839,
-_MSTRG.69028,
-_MSTRG.16062,
-_MSTRG.25049,
-_MSTRG.39079,
DPH3P1_MSTRG.55765,0.9706278390901925
-_MSTRG.77416,
KRT8P49_MSTRG.13822,0.4923665885331556
AL035666.1_MSTRG.54788,0.3446345568136424
-_MSTRG.84224,
-_MSTRG.45175,
-_MSTRG.49485,
AC004900.1_MSTRG.27428,0.2645896041161625
-_MSTRG.3840,0.6070825883235476
-_MSTRG.52268,
F11-AS1_MSTRG.69017,0.0023733770352424707
-_MSTRG.21894,
AC006023.2_MSTRG.80221,0.4314206377805445
-_MSTRG.3830,0.9701721540270131
-_MSTRG.74516,
RPL9P28_MSTRG.38489,0.05491049822553382
-_MSTRG.71555,
-_MSTRG.35971,
-_MSTRG.7400,
-_MSTRG.39429,
-_MSTRG.9940,
-_MSTRG.56988,
ACP7_MSTRG.44621,0.020160920067177634
Metazoa_SRP_MSTRG.31142,0.9675579110329239
AC074117.2_MSTRG.47062,0.7584555294738352
AC024451.4_MSTRG.85631,0.2968773448874661
RBM17P4_MSTRG.29483,0.23234253874017008
-_MSTRG.7634,
-_MSTRG.85094,
-_MSTRG.48888,
-_MSTRG.71180,
-_MSTRG.25755,
-_MSTRG.89327,
-_MSTRG.85644,
-_MSTRG.42352,
-_MSTRG.13384,
-_MSTRG.24068,
RPL21P120_MSTRG.36962,0.005679455924842387
RNA5SP268_MSTRG.86142,0.35331256448670967
-_MSTRG.20246,
LINC02005_MSTRG.61376,0.15115946883357828
-_MSTRG.72947,
-_MSTRG.87205,
ZIC5_MSTRG.25191,0.0018784917183080412
-_MSTRG.1245,
-_MSTRG.54703,
AL583810.1_MSTRG.28619,0.16502584609649418
AC009963.2_MSTRG.49462,0.09922626062590979
-_MSTRG.70661,
-_MSTRG.35441,
-_MSTRG.43826,
-_MSTRG.10476,
-_MSTRG.12791,
-_MSTRG.453,
AC010469.2_MSTRG.69921,0.547834868364736
-_MSTRG.5639,
-_MSTRG.57610,
-_MSTRG.32114,
-_MSTRG.27914,
-_MSTRG.32840,
-_MSTRG.6750,
MIR550A2_MSTRG.79980,0.6070218772027445
-_MSTRG.88546,
-_MSTRG.33658,
-_MSTRG.70670,
-_MSTRG.64406,
AC114947.1_MSTRG.70288,0.09005755685276592
LINC00528_MSTRG.57536,0.41659656871955053
-_MSTRG.92799,
-_MSTRG.5772,
-_MSTRG.53431,
-_MSTRG.30833,
-_MSTRG.78518,
RNU6-272P_MSTRG.70411,0.6379095795261562
-_MSTRG.1781,
AURKAP2_MSTRG.12776,0.017088976137347785
AC079336.1_MSTRG.37399,0.22350428800953231
-_MSTRG.16054,
-_MSTRG.19128,
-_MSTRG.77897,
AC243964.2_MSTRG.45044,0.10086812636007769
RGS17_MSTRG.78534,0.7500051164612005
-_MSTRG.35607,
