fetures,p.val,p.adjust
AC006023.2_MSTRG.80221,0.431420637780545,1
-_MSTRG.3830,0.970172154027013,1
-_MSTRG.74516,NA,NA
RPL9P28_MSTRG.38489,0.0549104982255338,0.738865855548937
-_MSTRG.71555,NA,NA
-_MSTRG.35971,NA,NA
-_MSTRG.7400,NA,NA
-_MSTRG.39429,NA,NA
-_MSTRG.9940,NA,NA
-_MSTRG.56988,NA,NA
ACP7_MSTRG.44621,0.0201609200671776,0.386523944393596
Metazoa_SRP_MSTRG.31142,0.967557911032924,1
AC074117.2_MSTRG.47062,0.758455529473835,1
AC024451.4_MSTRG.85631,0.296877344887466,1
RBM17P4_MSTRG.29483,0.23234253874017,1
-_MSTRG.7634,NA,NA
-_MSTRG.85094,NA,NA
-_MSTRG.48888,NA,NA
-_MSTRG.71180,NA,NA
-_MSTRG.25755,NA,NA
-_MSTRG.89327,NA,NA
-_MSTRG.85644,NA,NA
-_MSTRG.42352,NA,NA
-_MSTRG.13384,NA,NA
-_MSTRG.24068,NA,NA
RPL21P120_MSTRG.36962,0.00567945592484239,0.165915629316864
RNA5SP268_MSTRG.86142,0.35331256448671,1
-_MSTRG.20246,NA,NA
LINC02005_MSTRG.61376,0.151159468833578,1
-_MSTRG.72947,NA,NA
-_MSTRG.87205,NA,NA
ZIC5_MSTRG.25191,0.00187849171830804,0.076121320504425
-_MSTRG.1245,NA,NA
-_MSTRG.54703,NA,NA
AL583810.1_MSTRG.28619,0.165025846096494,1
AC009963.2_MSTRG.49462,0.0992262606259098,1
-_MSTRG.70661,NA,NA
-_MSTRG.35441,NA,NA
-_MSTRG.43826,NA,NA
-_MSTRG.10476,NA,NA
-_MSTRG.12791,NA,NA
-_MSTRG.453,NA,NA
AC010469.2_MSTRG.69921,0.547834868364736,1
-_MSTRG.5639,NA,NA
-_MSTRG.57610,NA,NA
-_MSTRG.32114,NA,NA
-_MSTRG.27914,NA,NA
