fetures,p-val
-_MSTRG.54003,
-_MSTRG.16825,
-_MSTRG.63906,
B3GALT2_MSTRG.7261,2.1621119308587555e-07
AP000553.6_MSTRG.57816,0.3693826318418444
-_MSTRG.580,
-_MSTRG.77619,
-_MSTRG.11924,
-_MSTRG.72023,
-_MSTRG.1805,
FAR1-IT1_MSTRG.14233,0.04843002078681354
-_MSTRG.41402,
-_MSTRG.49587,
-_MSTRG.76191,
HSPE1P8_MSTRG.2387,0.017512709812495825
-_MSTRG.27613,
SSBP3-AS1_MSTRG.3127,0.6091395690486359
-_MSTRG.53901,
DEFB131C_MSTRG.84376,0.25635201292217363
-_MSTRG.82439,
-_MSTRG.86559,
-_MSTRG.50214,
AP002433.1_MSTRG.17606,0.6497183606610557
AC021066.2_MSTRG.20382,0.421424710993615
-_MSTRG.64346,
-_MSTRG.26389,
-_MSTRG.9573,
-_MSTRG.83391,
H2AFZP2_MSTRG.86233,4.781534559574584e-08
-_MSTRG.87980,
-_MSTRG.51629,
ZRANB2-AS1_MSTRG.3571,0.01893028068175407
-_MSTRG.20985,
-_MSTRG.23652,
-_MSTRG.59419,
-_MSTRG.70479,
Y_RNA_MSTRG.28241,0.42342337043543254
-_MSTRG.81416,
-_MSTRG.27245,
NMRAL2P_MSTRG.64106,0.2699191151783989
RPL7P18_MSTRG.71517,0.09876529523418394
-_MSTRG.30065,
-_MSTRG.59030,
-_MSTRG.63947,
-_MSTRG.11349,
-_MSTRG.37191,
AL163973.1_MSTRG.26240,0.00591553199682469
CALR4P_MSTRG.2953,0.05463208282798463
AC015720.2_MSTRG.31059,0.12534309809368702
-_MSTRG.71810,
-_MSTRG.19724,
AC099791.2_MSTRG.3302,0.004528452165984573
KRT8P20_MSTRG.80177,3.029293814539672e-11
-_MSTRG.25856,
-_MSTRG.50284,
PRSS29P_MSTRG.32281,0.06683898980026613
SPTLC1P5_MSTRG.24765,0.32961220931170365
-_MSTRG.69072,
-_MSTRG.38943,
-_MSTRG.19182,
RPL7AP14_MSTRG.54635,0.05623174182895763
-_MSTRG.23704,
AC092338.3_MSTRG.33303,0.012615125883977655
-_MSTRG.79039,
-_MSTRG.40813,
OR7E126P_MSTRG.16459,0.03122538010130526
-_MSTRG.87681,
-_MSTRG.30041,
TRAJ25_MSTRG.25925,0.11999635442849482
-_MSTRG.49222,
AL353708.1_MSTRG.6911,0.009986253753121685
ANKRD20A21P_MSTRG.54285,0.3199328331229597
-_MSTRG.36558,
AC002553.2_MSTRG.36543,0.15614965899179575
Y_RNA_MSTRG.66704,0.13855013802340366
YES1P1_MSTRG.58145,0.48719281667762193
-_MSTRG.72789,
-_MSTRG.19122,
-_MSTRG.3717,
AC025287.3_MSTRG.35164,0.4726798117702812
-_MSTRG.20679,
-_MSTRG.94885,
-_MSTRG.67246,
-_MSTRG.68377,
-_MSTRG.56460,
-_MSTRG.56488,
-_MSTRG.92386,
AC005839.1_MSTRG.38679,0.017360411971984863
-_MSTRG.42385,
TAFA1_MSTRG.61261,0.87735510001913
RPS26P38_MSTRG.11885,0.44653928625986616
PRR26_MSTRG.9346,3.487758457742739e-06
-_MSTRG.11686,
RNU6-35P_MSTRG.67274,0.45158470824093944
